ID,JUDUL MASAKAN,BAHAN,NAMA DAERAH
1,rujak cingur,"(air, air asam, asam, cabai merah, cabe rawit, daging sapi, garam, gula, gula merah, kacang tanah, kerupuk, petis, tauge, timun)",jawa
2,pecel,"(air, air jeruk, cabai merah, cabe rawit, garam, gula, gula merah, jeruk nipis, kacang tanah, kangkung, terasi)",jawa
3,rawon,"(air, bawang putih, daun jeruk, daun salam, garam, gula, jahe, jeruk nipis, kecap, kunyit, lengkuas, minyak, petis, serai)",jawa
4,sambal terasi,"(air, air jeruk, cabai merah, cabe rawit, garam, gula, gula merah, jeruk nipis, terasi, tomat)",jawa
5,sayur asem,"(asam, cabai merah, cabe rawit, daun melinjo, garam, gula, jagung, kacang panjang, labu, melinjo, terasi, tomat)",jawa
6,tahu campur,"(air, air asam, asam, bawang putih, garam, gula, kacang tanah, kol, tahu, tauge, telur, terasi)",jawa
7,sate ayam madura,(bawang putih, cabai merah, cabe rawit, daging ayam, garam, gula, kacang tanah, kemiri, ketumbar, petis), cabai merah, cabe rawit, daging ayam, garam, gula, kacang tanah, kemiri, ketumbar, petis)",jawa
8,tahu tek,"(bawang putih, garam, gula, kacang tanah, kentang, kerupuk, petis, tahu, tauge, telur)",jawa
9,nasi tumpang,"(beras, daging ayam, daun salam, kelapa, lengkuas, santan, telur)",jawa
10,pecel lele,"(ikan, kecap, kol, kubis, minyak, tepung terigu, tomat)",jawa
11,semur jawa,"(bawang bombay, daging sapi, daun salam, gula, gula merah, kecap, serai)",jawa
12,tongseng ayam jawa,"(cabai merah, daging ayam, daun jeruk, gula, gula merah, jeruk nipis, kecap, kelapa, kentang, santan, wortel)",jawa
13,sayur lodeh,"(bawang putih, cabai merah, kacang panjang, kelapa, labu, santan, tahu, tempe, terasi)",jawa
14,nasi liwet,"(bawang putih, beras, daun jeruk, daun salam, garam, jeruk nipis, kelapa, santan, terasi)",jawa
15,sambal pencit,"(bawang putih, cabai merah, cabe rawit, garam, gula, gula merah, terasi, tomat)",jawa
16,sate kelapa,"(air, air asam, asam, bawang putih, daging sapi, garam, gula, gula merah, kelapa, ketumbar, kunyit)",jawa
17,nasi krawu,"(beras, daging sapi, kelapa, kerupuk, timun, tomat)",jawa
18,nasi ayam madura,"(bawang putih, daging ayam, kecap, ketumbar, kunyit, minyak)",jawa
19,pindang serani,"(air, air kelapa, daun jeruk, ikan, jeruk nipis, kelapa, serai)",jawa
20,soto ayam lamongan,"(air, bawang putih, daging ayam, daun jeruk, daun salam, garam, jahe, jeruk nipis, merica, minyak, serai)",jawa
21,lontong sayur,"(beras, cabai merah, daun kelor, daun melinjo, daun salam, garam, jahe, kelapa, lengkuas, melinjo, minyak, santan, tahu, telur, terasi)",jawa
22,sate kikil madura,"(bawang putih, daging sapi, garam, kecap, kencur, ketumbar, merica)",jawa
23,sambal tumpang tulungagun,"(air, bawang putih, cabai merah, cabe rawit, garam, gula, jeruk nipis, tomat)",jawa
24,lontong balap,"(air, bawang putih, beras, cabai merah, cabe rawit, daun bawang, garam, gula, kecap, kencur, merica, minyak, penyedap rasa, petis, saos, saos tiram, seledri, tahu, tauge, teh)",jawa
25,ayam lodho,"(bawang putih, cabai merah, cabe rawit, daging ayam, daun jeruk, daun salam, garam, gula, gula jawa, jeruk nipis, kelapa, kemiri, kencur, kunyit, lengkuas, minyak, santan, serai, teh, terasi)",jawa
26,nasi jagung lamongan,"(air, beras, daun salam, garam, jagung, lengkuas)",jawa
27,bothok udang,"(cabai merah, cabe rawit, daun pisang, pisang, tempe, udang)",jawa
28,sambal goreng tempe,"(bawang putih, cabai merah, daun jeruk, garam, gula, gula merah, jeruk nipis, kecap, minyak, teh, tempe)",jawa
